,area,equivalent_diameter,orientation,major_axis_length,minor_axis_length,perimeter,min_intensity,mean_intensity,max_intensity,solidity,eccentricity,centroid_local-0,centroid_local-1,feret_diameter_max,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,label,major_axis_length/minor_axis_length,perimeter/major_axis_length,perimeter/minor_axis_length,Labels,Filename,Region,Unnamed: 0
54,125725.1608,400.0977962,-0.813460207,438.409864,373.2312619,1364.643149,122,192.8058659,252,0.953395473,0.524631334,21.68086592,22.56354749,457.5017045,1432,32311,899531,27944419,31047,673609,18591325,579158047,840581,17739941,479976077,14750845163,25183479,520281511,13763381779,4.15E+11,1432,-1.22E-12,170480.2172,-45468.38514,5.21E-12,-26921.4588,303601.2245,-6133868.051,167455.1557,-59187.23208,14074760.11,-12855243.82,-302190.5158,-6133323.453,24834701.87,-1163628581,0.164796361,0.000691598,0.000247242,1.82E-06,-2.62E-12,3.97E-09,3.85E-11,101,1.174633287,3.112710869,3.656293799,C,/Users/jacobpietryga/Desktop/Academics/colloidal_crystal_ML/Images/Training_20240215/38.3 hold 6.bmp,101,
55,147410.9951,433.231472,1.461935338,571.528485,343.5049993,1598.617322,63,169.2435974,244,0.934335003,0.799227471,16.40857653,31.00119119,590.0124647,1679,52051,2001115,85283077,27550,881017,33613665,1409900383,596032,19446865,732770305,30034470331,14804122,490200613,18280587405,7.34E+11,1679,-2.46E-12,387471.9976,-778058.6528,-1.91E-12,26934.18285,-891767.1338,15806800.44,143975.7165,85259.81425,24790878.93,-113850972.5,299212.1852,5302829.998,-97011175.14,2681366620,0.188520747,0.007825884,0.000743203,6.23E-05,8.47E-09,2.01E-06,1.04E-08,102,1.663814169,2.797091245,4.653840045,C,/Users/jacobpietryga/Desktop/Academics/colloidal_crystal_ML/Images/Training_20240215/38.3 hold 6.bmp,102,
56,179720.2543,478.3585839,-1.011602303,617.943892,419.9058271,1883.322676,101,205.4548119,255,0.869583687,0.733656094,25.08597948,29.50708354,626.7402417,2047,60401,2254405,94479485,51351,1380532,46303808,1759475374,1629415,42210512,1329374248,47110493246,58522899,1490772214,45207131354,1.53E+12,2047,1.11E-12,472147.6473,95168.19845,9.04E-12,-134686.2467,-2301752.909,-55079995.5,341224.8676,888700.3214,75393437.42,529133633.7,527507.6867,-48672872.07,-597651064.2,-18890204749,0.194112636,0.005108957,0.001721039,0.00011452,1.41E-08,4.35E-06,-4.88E-08,106,1.47162495,3.047724397,4.485107265,MC,/Users/jacobpietryga/Desktop/Academics/colloidal_crystal_ML/Images/Training_20240215/38.3 hold 6.bmp,106,
57,158824.5921,449.6907285,0.499826014,522.3490403,390.3131646,1573.389645,80,189.8933112,247,0.948113208,0.664569196,26.19624102,22.35212825,554.7324891,1809,40435,1135639,35906239,47389,1124521,32666311,1055415811,1557135,37996873,1110373447,35877191743,57234289,1418508859,41357880745,1.33E+12,1809,-3.61E-12,231830.6943,158471.6072,7.09E-12,65275.99447,-1276.752326,17053820.16,315721.3344,-228379.5866,30698290.89,-20287968.76,-98219.09865,22763159.86,-37771532.58,5012780716,0.167320155,0.002248685,3.72E-05,7.63E-07,3.78E-12,3.53E-08,-1.50E-12,108,1.338281892,3.012142309,4.031095508,C,/Users/jacobpietryga/Desktop/Academics/colloidal_crystal_ML/Images/Training_20240215/38.3 hold 6.bmp,108,
58,87.7969,10.5729128,-0.785398163,0,0,0,157,157,157,1,0,0,0,9.37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,,,,PS,/Users/jacobpietryga/Desktop/Academics/colloidal_crystal_ML/Images/Training_20240215/38.3 hold 6.bmp,110,
59,123091.2538,395.8846448,-1.530644391,421.0112978,377.6738118,1352.723778,87,190.211127,254,0.954390742,0.441901933,21.9914408,21.78601997,459.5122898,1402,30544,842280,26152180,30832,670321,18561279,581172817,820454,17772541,485957619,15062456053,24227452,521439541,13991328879,4.26E+11,1402,9.09E-13,176847.806,96631.43195,-1.62E-12,-1385.56776,98700.25773,1570740.258,142413.8973,-40944.96692,11115510.2,7817584.11,-79287.15154,-1668616.424,12818081.51,17429540.6,0.162424223,0.000308876,3.49E-05,6.42E-07,3.04E-12,8.25E-09,-1.08E-13,112,1.114748454,3.21303439,3.581725119,C,/Users/jacobpietryga/Desktop/Academics/colloidal_crystal_ML/Images/Training_20240215/38.3 hold 6.bmp,112,
60,101229.8257,359.01228,0.646133154,495.0895546,265.1820168,1298.777322,82,168.9323504,238,0.945081967,0.844456372,23.34084996,19.27493495,482.3502721,1153,22224,538096,14690376,26912,587696,15203616,431371766,777324,18093874,481089410,13832720236,24994646,603551966,16253121918,4.69E+11,1153,1.56E-12,109729.8456,88539.3286,1.75E-12,68968.95056,-14746.06995,12467914.04,149175.046,-108583.3904,13274826.96,-16045220.12,-112501.5821,16663200.55,-28398566.37,2503387457,0.194751872,0.011646273,8.65E-05,8.14E-06,1.28E-10,4.90E-07,1.74E-10,113,1.866980124,2.623317962,4.897682494,MC,/Users/jacobpietryga/Desktop/Academics/colloidal_crystal_ML/Images/Training_20240215/38.3 hold 6.bmp,113,
61,87.7969,10.5729128,-0.785398163,0,0,0,180,180,180,1,0,0,0,9.37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,,,,PS,/Users/jacobpietryga/Desktop/Academics/colloidal_crystal_ML/Images/Training_20240215/38.3 hold 6.bmp,115,
62,155751.7006,445.3192387,-0.857628556,452.4160132,440.174761,1486.177322,95,195.3523112,249,0.973655324,0.231047435,23.70687711,23.95885006,480.1610765,1774,42503,1270899,42553865,42056,1000786,29725664,989643424,1247606,29570236,863224498,28191549646,41537450,981998026,28156402808,9.01E+11,1774,-2.27E-12,252575.9961,1725.587612,-1.36E-12,-6827.397971,-76229.20863,-1939409.735,250589.5761,2743.48597,24108253.97,888753.9694,79215.29828,-1875307.574,-6388220.651,22481014.46,0.159883515,1.92E-05,5.40E-06,1.64E-09,-1.51E-16,-6.19E-12,-3.34E-17,116,1.027809982,3.284979484,3.376334705,C,/Users/jacobpietryga/Desktop/Academics/colloidal_crystal_ML/Images/Training_20240215/38.3 hold 6.bmp,116,
63,197104.0405,500.9597377,-1.501609371,626.0455224,413.5058236,1773.707873,63,180.2320713,244,0.931921959,0.750822172,21.75055679,30.26726058,596.2295264,2245,67950,2681340,119029350,48830,1453598,56761912,2508049046,1337030,39278354,1512682924,66136179038,41143916,1191543350,45234876472,1.96E+12,2245,-3.88E-12,624679.6437,57850.41319,-8.00E-12,-24352.33408,-84569.06865,-6298533.342,274950.3118,-130527.7613,68000403.62,-95204436.45,102124.307,-10690824.74,52597165.5,-3123511346,0.178497122,0.004908412,5.76E-06,9.80E-08,-7.36E-14,6.48E-09,3.05E-15,119,1.513994451,2.83319313,4.289438677,MC,/Users/jacobpietryga/Desktop/Academics/colloidal_crystal_ML/Images/Training_20240215/38.3 hold 6.bmp,119,
