,area,equivalent_diameter,orientation,major_axis_length,minor_axis_length,perimeter,min_intensity,mean_intensity,max_intensity,solidity,eccentricity,centroid_local-0,centroid_local-1,feret_diameter_max,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,label,major_axis_length/minor_axis_length,perimeter/major_axis_length,perimeter/minor_axis_length,Labels,Filename,Region,mean_curvature,std_curvature,min_curvature,max_curvature,percent_convexity_curvature,longest_contiguous_percent_concavity_curvature,longest_contiguous_percent_convexity_curvature,number_distinct_paths_curvature
0,56354810.781299986,8470.724504009007,-1.5629164808609293,17103.956160091355,9674.993674626963,85444.30389422739,0.0,57.71292475038052,195.0,0.5864938036294659,0.8246397757496862,412.7788065314694,646.7894129249062,14397.211577593767,641877.0,415159248.0,402188609756.0,430330033267470.0,264953222.0,170652673291.0,167023026155657.0,1.802692730529049e+17,152144174424.0,98977386909085.0,9.691606089904768e+16,1.04281958691359e+20,99380700245048.0,6.528787361438285e+16,6.3790257065271984e+19,6.8302372954351985e+22,641877.0,-2.9802322387695312e-08,133668003471.73448,-2711400506352.3633,2.1187588572502136e-08,-716265618.9423382,1934637858372.4365,-216834095519402.2,42777099660.17253,1163464188134.596,8156119859576483.0,-7.882753288694157e+16,1263849216386.0823,-65145591692916.75,4.197762204515648e+17,-2.815322643330861e+19,0.42825849024336293,0.04867897855789725,0.0005421761482960514,0.00011588344066991083,-2.6601087005658685e-08,-1.5545835488383834e-05,-1.1666800343498813e-08,2,1.7678519216965616,4.995587166762887,8.83145837276445,Incomplete,C:\Users\Jacob\Desktop\Academics\Mirkin\colloidal_crystal_ML\Images\20240217_Images_by_experiment\Fig3_Fig4_oven_pcr_linkerstrength\L-2_nM-2.5_mixing-F_oven-F_embed-Ag\L2_2.5nM_03.bmp,2,0.617255592275478,3.3658023754992668,-1.4312505809902611,39.61245674738146,69.6774193548387,2.5806451612903225,7.741935483870968,55.0
1,374102.5908999999,690.1610047820442,1.0469451855815892,981.3886929714921,513.0743450606144,2705.4475565790767,30.0,105.78737385590237,177.0,0.8763883175647882,0.8524526613722043,33.2187279981225,46.79934287725886,972.360435281074,4261.0,199412.0,11722578.0,766174400.0,141545.0,7543735.0,471347055.0,31838093023.0,6031637.0,342829905.0,21911712085.0,1491904816941.0,292222091.0,17219129035.0,1109612045271.0,75452925538351.0,4261.0,-1.3322676295501878e-11,2390227.438160057,-6156694.09358045,-2.135891463694861e-11,919522.0124383951,-4128126.9053579844,924582901.2311171,1329692.1455057499,-537446.313115499,670329957.7422512,-4749675877.566059,3517418.707997499,552853869.4851156,-2810792720.8727283,490262439155.35376,0.20488515050465939,0.013671743017371476,0.00019472820401046333,3.216855999157015e-05,1.3335757746337722e-09,2.4376267714340667e-06,-2.1688234026722858e-09,3,1.9127611864037974,2.7567543583444016,5.273012737090677,Incomplete,C:\Users\Jacob\Desktop\Academics\Mirkin\colloidal_crystal_ML\Images\20240217_Images_by_experiment\Fig3_Fig4_oven_pcr_linkerstrength\L-2_nM-2.5_mixing-F_oven-F_embed-Ag\L2_2.5nM_03.bmp,3,0.015327537013269386,0.32729088591624267,-2.9834242676021376,2.6038139930682958,64.90765171503958,5.804749340369393,12.401055408970976,54.0
2,394734.8623999999,708.937258502664,1.2889004354224634,765.2681946022526,663.1886115603944,2508.2874782286667,63.0,172.93371886120997,218.0,0.9735816370723257,0.49898712055463273,36.899243772241995,41.62633451957296,812.6550816921037,4496.0,187152.0,9628704.0,550811646.0,165899.0,7030467.0,365912665.0,21160400817.0,7565333.0,326468133.0,17000957115.0,979721583807.0,385382063.0,16848966285.0,874039470247.0,49965393205983.0,4496.0,3.595346242946107e-12,1838252.2419928825,-3035413.207051597,-1.1297629498585593e-11,124699.72953736635,239183.58079305053,157777596.830091,1443785.3574288252,2348399.352971711,409926065.88180184,539676064.5067916,-322179.3023063863,37604814.02843551,380240521.43515086,52855150763.47286,0.16236445045960723,0.0005330415538389547,5.5903361701465996e-05,2.606704815731403e-07,8.901120650026527e-13,5.70640182520313e-09,4.4483592591136317e-13,4,1.1539224004490647,3.2776580758492737,3.782163074735256,Crystal,C:\Users\Jacob\Desktop\Academics\Mirkin\colloidal_crystal_ML\Images\20240217_Images_by_experiment\Fig3_Fig4_oven_pcr_linkerstrength\L-2_nM-2.5_mixing-F_oven-F_embed-Ag\L2_2.5nM_03.bmp,4,0.028600873402220974,0.029880018199886886,-0.06268049086074526,0.17882369039300283,90.29126213592234,5.177993527508091,48.22006472491909,6.0
3,478580.9018999999,780.6075388145439,1.1349765499853364,833.2256756913388,733.5747939964832,2598.496375499641,94.0,172.7960007338103,215.0,0.9844681235325988,0.4742253602919121,41.03503944230417,43.66024582645386,845.5873423839786,5451.0,237992.0,12976846.0,792134762.0,223682.0,9997869.0,552060225.0,33909806637.0,11374942.0,515770881.0,28312445257.0,1718805564405.0,647740322.0,29682810075.0,1613383655151.0,96430884656067.0,5451.0,2.3391066861222498e-11,2586056.775270593,-253273.47099571192,-6.937739271961618e-11,231857.89304714755,-691107.6611912409,169132808.27029562,2196142.307466521,109521.44594680268,660311207.7670683,-209741492.87977308,731555.9604747114,217566979.44346672,-287708078.13101673,134491738241.29494,0.16094418416582854,0.00041575643938848174,1.705078236724803e-06,4.633805200336243e-09,-2.387558176641443e-16,1.417452769212212e-11,-3.3562945384997963e-16,5,1.1358428377179672,3.118598539757711,3.5422378151015073,Crystal,C:\Users\Jacob\Desktop\Academics\Mirkin\colloidal_crystal_ML\Images\20240217_Images_by_experiment\Fig3_Fig4_oven_pcr_linkerstrength\L-2_nM-2.5_mixing-F_oven-F_embed-Ag\L2_2.5nM_03.bmp,5,0.025567802421972444,0.017600502030656665,-0.002743044242518846,0.09572883119208722,96.52173913043478,2.0289855072463765,48.69565217391305,6.0
4,381126.34289999993,696.6097410462859,-0.7030460562072884,781.5945308486733,631.9851414887444,2421.683934990359,56.0,164.2508638562543,216.0,0.9618878794593397,0.5883802128427229,37.450817783920755,37.22483298779083,836.5054052425482,4341.0,161593.0,7522717.0,393596935.0,162574.0,5729444.0,253869688.0,12686859140.0,7703128.0,263771358.0,11203344914.0,534719676258.0,412795192.0,13948580354.0,574299176026.0,26395047622910.0,4341.0,-9.421796676178928e-12,1507444.5630039163,1336306.8682368833,4.18509671362699e-11,-322345.99815710646,-3863663.7156409295,-282182114.2303609,1614598.7495968668,1167947.1971404974,414896548.43157756,2025123327.401605,3370661.77518495,-192541020.83297503,-1701871429.5471992,-157566979360.53546,0.16567590520438447,0.0012027638946319058,0.00014826235686945488,4.2259217234901235e-06,4.4985244016295095e-11,3.2563295301195615e-08,9.573625294036485e-11,6,1.2367292829187402,3.0983890488087713,3.831868466536549,Crystal,C:\Users\Jacob\Desktop\Academics\Mirkin\colloidal_crystal_ML\Images\20240217_Images_by_experiment\Fig3_Fig4_oven_pcr_linkerstrength\L-2_nM-2.5_mixing-F_oven-F_embed-Ag\L2_2.5nM_03.bmp,6,0.026435791877490688,0.03851442720638488,-0.3711260174618196,0.14893283556724773,86.8421052631579,7.236842105263158,50.98684210526315,10.0
5,499564.36099999986,797.5368954258809,-0.11880976688174977,852.725137574626,753.0577911415954,2702.232280896821,80.0,172.54288224956062,219.0,0.9685106382978723,0.4691490057999763,47.4456942003515,40.19578207381371,907.3914966540076,5690.0,228714.0,11499492.0,648685740.0,269966.0,10775197.0,539351689.0,30355835767.0,15744928.0,625611039.0,30739652431.0,1694449677693.0,1025571974.0,40595772691.0,1951383336727.0,104784278206093.0,5690.0,1.3216094885137863e-12,2306153.8987697717,1059346.5211846903,-5.590550244960468e-11,-76297.50333919137,-116016.25739198412,-37697558.92790349,2936203.7195079094,-28679.632524372497,704536717.115456,-1314287797.2683744,-77512.66596560235,-108554169.05780241,-963084891.6817238,-32586557580.338074,0.1619206024900368,0.00040091896708687597,2.3223037671845816e-07,1.8438425130208972e-07,3.615852920116803e-14,-3.028528970435147e-09,-1.2178800016735266e-14,7,1.1323501962338645,3.168937048792391,3.588346489052827,Crystal,C:\Users\Jacob\Desktop\Academics\Mirkin\colloidal_crystal_ML\Images\20240217_Images_by_experiment\Fig3_Fig4_oven_pcr_linkerstrength\L-2_nM-2.5_mixing-F_oven-F_embed-Ag\L2_2.5nM_03.bmp,7,0.0265838374587987,0.03088956309177812,-0.042417910190665466,0.14243013797098164,79.38718662952647,6.406685236768802,22.00557103064067,10.0
6,494472.1407999999,793.461708865912,1.2831106363741702,855.3665347184636,747.9192946055549,2754.456848513744,28.0,139.5731534090909,216.0,0.9635585970915312,0.4852335871140877,38.26438210227273,47.40536221590909,932.6798406741726,5632.0,266987.0,15534391.0,1004667881.0,215505.0,10404005.0,610184029.0,39677825285.0,10544477.0,519268557.0,30489906809.0,1976611304469.0,580699887.0,29022104141.0,1700503472797.0,109550433991637.0,5632.0,-2.8109070626669563e-11,2877775.5580610805,-4589536.570509054,-2.2666313270747196e-11,187912.4156605111,-2045956.2086125533,258928603.63616794,2298311.335049716,5023100.488487743,896990537.1621914,4837581351.645699,1335063.7747198131,91794966.12493238,-1324495388.0364366,73870524421.86021,0.16318350841146412,0.00047412059023652596,7.805811783725199e-05,1.2235919484658892e-07,3.622422365243709e-13,-2.3121940241287994e-09,-1.0852596441934432e-13,10,1.143661543281318,3.220206469055221,3.6828263000841774,Crystal,C:\Users\Jacob\Desktop\Academics\Mirkin\colloidal_crystal_ML\Images\20240217_Images_by_experiment\Fig3_Fig4_oven_pcr_linkerstrength\L-2_nM-2.5_mixing-F_oven-F_embed-Ag\L2_2.5nM_03.bmp,10,0.029095971840996944,0.3444340846761812,-2.017780206870495,4.0769351509543785,67.77777777777779,6.944444444444445,30.277777777777775,32.0
7,436789.5774999999,745.7464467237935,0.945877260749813,836.97614779622,671.2532093830804,2636.8609822917692,58.0,166.98994974874373,218.0,0.9620963063237284,0.5973266974281923,40.646633165829144,40.181708542713565,915.9624317623511,4975.0,199904.0,10210474.0,588859520.0,202217.0,8545425.0,447380481.0,26198468661.0,10118169.0,437018643.0,22906957159.0,1337241260595.0,565404677.0,24662368119.0,1285111319115.0,74352919115727.0,4975.0,2.731326276261825e-11,2177989.735477387,3554532.1290968703,1.000444171950221e-11,420000.4436180905,-1393580.9537811992,396941183.9647336,1898728.7811055274,-3689882.6663796464,638060425.1459063,-1858893083.82345,-218691.14686088625,311676429.3014527,-1114755660.5154073,235614707683.52707,0.1647117402725351,0.0012791324926568314,7.53250277864677e-05,8.589369097299655e-07,-9.196996787670088e-14,-4.695500556599802e-09,6.908329857477424e-12,11,1.2468858786767638,3.1504613234614784,3.928265735541426,Crystal,C:\Users\Jacob\Desktop\Academics\Mirkin\colloidal_crystal_ML\Images\20240217_Images_by_experiment\Fig3_Fig4_oven_pcr_linkerstrength\L-2_nM-2.5_mixing-F_oven-F_embed-Ag\L2_2.5nM_03.bmp,11,0.02013348795443776,0.10372312167259415,-1.552309668701713,0.34095281318881016,75.21613832853026,10.086455331412104,24.78386167146974,12.0
8,941533.9555999998,1094.8964631328574,-1.4190892556951027,1243.2718662661905,1013.9340107548377,4432.419680775077,79.0,167.8025923162999,211.0,0.9502037923090555,0.5787051584354763,56.64257739649385,65.99850801939574,1284.7838405350526,10724.0,707768.0,58421588.0,5420087426.0,607435.0,39499431.0,3233508335.0,298304958183.0,42345267.0,2718190285.0,217197700085.0,19540749896941.0,3314370223.0,210818576439.0,16402338503315.0,1431190089677547.0,10724.0,5.820766091346741e-11,11709955.97612831,18670535.081614852,4.092726157978177e-11,-590372.7187616562,2286452.311171187,-1440828777.3923426,7938582.999160762,-9653693.85248287,5023308956.240095,-13664841520.286041,16501555.680395901,-602060141.0978366,7990487747.957031,-1553272648724.3677,0.17085065654736808,0.0011808151039508462,1.6651317120775217e-05,3.0619526668679772e-06,-1.989008743361762e-11,-8.73416232593676e-08,-9.077563429786935e-12,12,1.2261861749174574,3.565125055139046,4.371507054463336,Crystal,C:\Users\Jacob\Desktop\Academics\Mirkin\colloidal_crystal_ML\Images\20240217_Images_by_experiment\Fig3_Fig4_oven_pcr_linkerstrength\L-2_nM-2.5_mixing-F_oven-F_embed-Ag\L2_2.5nM_03.bmp,12,0.0028126809124214675,0.09289617084423533,-0.6759666343443705,0.5192862168504417,71.71052631578947,5.592105263157895,18.25657894736842,27.0
9,767871.6873999998,988.7793473167798,0.8783429014024744,1184.6197260527888,858.4336158321253,3687.4140916911792,36.0,162.22010061742512,216.0,0.9063212435233161,0.6891180486105107,55.77109535787789,58.05522524582666,1198.5544951315312,8746.0,507751.0,36523581.0,2910884935.0,487774.0,30356647.0,2292951903.0,189381187885.0,33482830.0,2202026005.0,170772004049.0,14321808155419.0,2574889768.0,176546695333.0,13902858873441.0,1173845980886887.0,8746.0,5.820766091346741e-11,7045982.326206265,-27611968.79123199,-2.9103830456733704e-11,2038817.560942145,19263758.76653669,3067912775.38418,6279139.732906472,30758590.265036836,3879958646.1465034,36474826863.01097,7126661.599652074,2889862411.3757315,31175761669.859173,3780360115608.5005,0.1742016442381466,0.0029422059146646767,0.0003310284771112026,1.3803079030192487e-05,-4.0869434485584184e-11,3.8509231939298084e-08,9.321366891014676e-10,13,1.3799782583123494,3.112740747596551,4.295514555446169,Crystal,C:\Users\Jacob\Desktop\Academics\Mirkin\colloidal_crystal_ML\Images\20240217_Images_by_experiment\Fig3_Fig4_oven_pcr_linkerstrength\L-2_nM-2.5_mixing-F_oven-F_embed-Ag\L2_2.5nM_03.bmp,13,0.021127568800751728,0.22472711203880893,-1.09602399231399,4.728706720488938,70.70707070707071,12.323232323232324,17.373737373737374,22.0
