,Unnamed: 0.1,area,equivalent_diameter,orientation,major_axis_length,minor_axis_length,perimeter,min_intensity,mean_intensity,max_intensity,solidity,eccentricity,centroid_local-0,centroid_local-1,feret_diameter_max,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,label,major_axis_length/minor_axis_length,perimeter/major_axis_length,perimeter/minor_axis_length,Labels,Filename,Region,Unnamed: 0
1209,18,641672.4233,295.2853845,1.138862212,367.8089392,279.225682,1325.279684,124,167.1217949,208,7.669045121,6.09897556,131.6244744,186.2828077,403.0189388,7308.6,145300.59,3540276.47,94270173.87,102667.09,2154472.21,54608013.31,1496475438.0,1900114.19,42856552.85,1129586098.0,31745911834.0,40602486.91,975313620.8,26510244618.0,760000000000.0,7308.6,-2.1e-11,651588.9711,-2021425.579,-1.48e-11,113371.4861,368381.8329,15821537.09,457904.8244,1895663.759,37626239.97,215019237.7,1045977.291,21102362.01,168272357.8,3068243762.0,1.823625568,0.025639549,0.021965615,0.000745293,-8.7e-08,-3.02e-05,3.1e-07,19,1.317246095,3.60317421,4.746267157,C,../Images/Training/39.5 hold 1.bmp,19,18.0
1210,19,2504167.765,583.3335755,-0.957468985,612.7071434,561.4614556,2178.396888,119,194.4411958,253,8.765298095,3.751289152,303.3552891,318.7831603,654.8953019,28522.28,970375.94,40231444.28,1851110364.0,923413.5,30841036.42,1261787419.0,57494436825.0,36701090.64,1220441263.0,49265526669.0,2210000000000.0,1627899855.0,54148002380.0,2160000000000.0,95354500000000.0,28522.28,-1.09e-10,7217622.631,-8742363.156,-1.44e-10,-575044.0291,-1584267.84,-277069911.7,6805426.9,9042718.243,1240608402.0,2990864373.0,-957610.6527,-305967893.3,-2521148023.0,-113000000000.0,1.513398056,0.001855357,0.000531309,2.68e-06,2.64e-12,-4.09e-09,-1.04e-11,20,1.09127196,3.555363947,3.879868984,C,../Images/Training/39.5 hold 1.bmp,20,19.0
1211,20,910681.247,351.777826,-1.296911813,367.6068726,351.4474035,1431.955038,135,202.3495935,255,8.304715773,2.747580019,169.7180397,186.8244264,429.8982141,10372.59,206814.64,5115139.22,140708128.1,187877.87,3723675.48,90885626.8,2449378343.0,4321322.19,86680258.36,2091075540.0,55074025275.0,112976723.0,2314534841.0,55570281745.0,1440000000000.0,10372.59,-2.6e-12,991550.481,-820649.9259,1.7e-11,-22341.0933,-873570.3795,-20358292.89,918305.775,1328586.405,58781694.57,126902302.8,1438575.344,11735355.57,-39801514.09,-1264537182.0,1.558495095,0.000523147,0.002540921,3.71e-05,2.93e-10,-1.68e-07,-1.18e-09,21,1.045979765,3.895343489,4.074450468,I,../Images/Training/39.5 hold 1.bmp,21,20.0
1212,21,3053702.61,644.1672394,1.023850279,681.2774488,612.0006906,2326.376297,109,198.2632004,255,8.929766367,4.116757867,324.024798,328.7956223,720.0282595,34781.44,1220489.35,53719268.81,2650041643.0,1202780.05,43191258.62,1924060593.0,95782920454.0,51467151.83,1873587439.0,83009488055.0,4100000000000.0,2465543401.0,90398798124.0,3960000000000.0,192687000000000.0,34781.44,-7.06e-11,10891995.03,613576.7932,2.77e-10,985408.5627,-2766649.83,792767450.2,9873708.641,-560675.84,2059146075.0,-604255366.4,2866094.094,405228013.1,-1396894745.0,296049000000.0,1.507060604,0.002766205,1.97e-05,1.92e-09,-3.93e-18,1.59e-11,-3.97e-17,22,1.11319719,3.414726704,3.80126417,C,../Images/Training/39.5 hold 1.bmp,22,21.0
1213,22,1416615.273,438.7440337,-0.802398832,510.6972284,398.2418545,1953.792715,109,202.7560976,255,8.194586084,5.865885558,251.0746458,248.6913357,553.5441997,16135.14,428246.48,13794832.58,497307858.9,432350.54,10888427.24,341562848.4,12103344588.0,13973818.32,334618722.7,10084202220.0,345451000000.0,500214489.1,11487807100.0,332000000000.0,10969200000000.0,16135.14,5.93e-11,2428643.775,2257627.48,5.71e-11,-586688.3698,3065081.66,-226509399.7,2388732.015,-4822301.095,257454507.5,-1082415394.0,-2237119.644,-137119274.9,957532908.6,-42308725186.0,1.624591705,0.016730347,0.002892754,5.12e-05,-7.23e-11,1.32e-06,2.1e-09,23,1.282379596,3.825735888,4.906045642,C,../Images/Training/39.5 hold 1.bmp,23,22.0
1215,24,1034902.447,375.0031975,-0.585957523,417.9604007,341.8661144,1379.501967,137,208.0691574,255,8.842805701,5.390607369,183.0054849,173.0470668,446.330781,11787.46,217693.21,5149461.53,136450840.5,230220.9,4028228.59,91669905.17,2352600232.0,5813935.08,99615515.25,2204462612.0,54959209746.0,165626762.3,2812535940.0,60975067464.0,1480000000000.0,11787.46,-2.88e-11,1129059.028,-353846.6969,2.76e-11,-223537.8406,-647551.4998,-47814813.35,1317490.316,974414.9111,102612409.5,131311511.4,610976.1332,-47574459.79,-101981533.5,-9267554118.0,1.545940223,0.010030278,0.000584665,1.31e-05,-8.17e-11,-1.19e-07,9.09e-11,25,1.222585051,3.30055662,4.035211182,C,../Images/Training/39.5 hold 1.bmp,25,24.0
1216,25,875306.998,344.8779785,1.0476261,572.4425489,263.7380823,1782.916297,111,173.5535714,220,6.885138122,8.316281711,217.7908553,241.7530451,536.3864664,9969.68,257225.24,8504942.86,317757201.6,231729.47,6771680.26,234742768.3,8887823267.0,6337165.25,196399135.4,6940334263.0,263000000000.0,189007807.7,6066418800.0,216000000000.0,8200000000000.0,9969.68,-4.79e-12,1868338.266,1914217.044,-2.93e-12,792885.7013,-3855294.121,217045698.9,950979.6085,-3963245.24,194198411.6,-1609289739.0,-2497631.421,181148132.3,-1493513244.0,49361018288.0,2.490352297,0.279475692,0.021348553,0.003487223,1.12e-06,5.99e-05,3.01e-06,26,2.170496365,3.114576826,6.76017768,C,../Images/Training/39.5 hold 1.bmp,26,25.0
1217,26,2788807.071,615.5941716,0.390440011,658.8837015,586.0472624,2539.66988,102,202.4486726,255,8.538790323,4.282307144,327.2341209,325.0394956,721.7333356,31764.3,1101883.89,46286816.15,2165678702.0,1109323.67,39203386.62,1665489221.0,78739942686.0,48261093.89,1718768016.0,72759668593.0,3420000000000.0,2352522293.0,83795279436.0,3515060000000.0,163508000000000.0,31764.3,2.74e-11,8063146.589,606602.3008,1.69e-10,721635.6994,-1079167.3,613807749.0,9519519.077,-5783666.288,1829908636.0,-3863461340.0,2159480.486,153252016.1,1139363771.0,138971000000.0,1.529978478,0.003397268,8.38e-05,6.67e-06,-1.59e-11,-1.18e-07,5.37e-12,27,1.124284241,3.854504025,4.333558132,C,../Images/Training/39.5 hold 1.bmp,27,26.0
1218,27,2814309.436,618.4024298,-0.020635667,727.8155404,535.7637869,2495.426375,109,198.5442853,255,8.518408185,6.342035385,397.8839988,305.4576177,785.7961553,32054.77,1044970.51,40617891.19,1744321589.0,1361161.16,44258979.49,1716162978.0,73652020664.0,69884945.64,2275431836.0,87351189742.0,3699890000000.0,3990969722.0,130000000000.0,4939650000000.0,205860000000000.0,32054.77,2.46e-11,6552341.296,-7009189.934,-5.62e-10,-114237.7116,-1171004.311,60567920.69,12085132.9,6917183.551,1548500227.0,-2060546812.0,-2953825.162,-212745766.2,2407589136.0,-68938138342.0,1.592505375,0.023893331,0.000175604,3.88e-06,-9.39e-13,1.95e-07,-1.08e-11,28,1.358463484,3.42865223,4.657698852,PS,../Images/Training/39.5 hold 1.bmp,28,27.0
1220,29,1189561.954,402.0488245,-1.316469798,516.6558347,332.160655,1673.691573,113,181.9488243,249,8.211527273,7.176912781,215.3220816,287.3790664,559.2249617,13549.02,415550.13,15223973.09,617726273.3,311355.73,9181522.45,331499571.5,13431626072.0,8314703.75,237486857.1,8370047383.0,334000000000.0,242084060.2,6738032731.0,231000000000.0,9000000000000.0,13549.02,4.52e-11,2478998.875,-1257284.611,6.72e-12,-367796.5471,4214243.934,-113532994.0,1159766.3,-622253.301,121034267.6,-310819125.9,-2290102.77,-61141854.89,357627312.9,-11132377990.0,1.740273246,0.055693221,0.003770738,0.00012214,6.29e-09,4.39e-06,-6.22e-09,30,1.555439595,3.23947096,5.038801398,C,../Images/Training/39.5 hold 1.bmp,30,29.0
