,area,equivalent_diameter,orientation,major_axis_length,minor_axis_length,perimeter,min_intensity,mean_intensity,max_intensity,solidity,eccentricity,centroid_local-0,centroid_local-1,feret_diameter_max,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,label,major_axis_length/minor_axis_length,perimeter/major_axis_length,perimeter/minor_axis_length,Labels,Filename,Region,facet_score
19,60316.470299999986,277.1232851725094,-1.053142473681292,452.51353884192537,213.15611615771203,1302.5442513036412,93.0,199.19650655021834,235.0,0.7435064935064936,0.8821069673096466,22.403202328966522,22.572052401746724,444.359345687699,687.0,15507.0,431087.0,12998697.0,15391.0,313899.0,8285805.0,242787915.0,386109.0,7282065.0,183575147.0,5226932181.0,10307947.0,182622015.0,4416054501.0,122206466451.0,687.0,1.3073986337985843e-12,81062.18340611356,-391301.0569973874,-1.9753088054130785e-12,-33507.458515283855,140739.93652549182,-6738987.5474293465,41301.31295487628,68141.16450868598,4562988.786072184,-15553372.139047176,-192694.38919505314,-4176716.1639202093,-6452475.686513528,-648751326.0242935,0.2592617234627483,0.02725834703446519,0.00478987921773505,0.0007000576887962377,3.6820365628939807e-07,2.484802042288039e-05,1.2279091442500734e-06,20,2.1229207352751502,2.8784647076795054,6.110752413690546,Incomplete,../Images/Training/4 nM 4.bmp,20,37.74787983650558
20,106848.82729999998,368.84163570147285,1.5687704775608795,412.70217996020125,347.9318851797132,1544.2807864157435,98.0,187.53081347576006,232.0,0.8600706713780919,0.5378226145573363,16.36811832374692,23.98110106820049,511.50245551707764,1217.0,29185.0,847447.0,27417457.0,19920.0,477790.0,13538484.0,425143102.0,430930.0,10351708.0,285576482.0,8642971144.0,10724424.0,257925118.0,6973662936.0,204921275986.0,1217.0,5.233147248873138e-12,147558.56532456866,17511.106002408356,-6.487255177489715e-12,86.46672144617838,-336775.90347642894,450513.35078491905,104877.08299096143,14701.521624966676,8402265.513097934,-5307359.059296971,237629.76305677736,-49783.85091470936,-18439926.882018764,123123370.94119808,0.1704392162223405,0.0008304697251494583,0.0005836383875638427,4.070813209629876e-06,-1.131925804761752e-10,-9.518852854052248e-08,-1.6297064295700361e-10,21,1.1861579738431647,3.741876979095835,4.438457215894697,Multiple Crystal,../Images/Training/4 nM 4.bmp,21,40.73568716912367
21,30289.93049999999,196.38313909264133,-1.186599093341793,226.61024076212266,174.73842553953273,667.2677161915385,109.0,183.97391304347826,228.0,0.9478021978021978,0.6367179639260906,8.405797101449275,11.455072463768117,247.55249180729325,345.0,3952.0,57164.0,925144.0,2900.0,31443.0,433627.0,6713013.0,32594.0,348835.0,4706811.0,71156077.0,413522.0,4410147.0,58643263.0,871969077.0,345.0,-3.730349362740526e-13,11893.553623188403,-2156.799529510633,3.375077994860476e-13,-1776.7101449275358,-6177.298592732607,-151862.83726181017,8217.1884057971,5337.698088636835,255374.7831467631,439275.6488784385,1399.4123083385855,-84767.0057678785,-326462.4255879287,-6417016.523075557,0.1689623358872968,0.001845312915954227,0.00014882608751644717,6.740798490744658e-06,1.712152453817648e-10,1.0534257623056916e-07,-1.2755159624541956e-10,22,1.2968540838251656,2.9445611722904568,3.818666181357896,Incomplete,../Images/Training/4 nM 4.bmp,22,21.594815281658217
22,187885.36599999995,489.10436296177056,1.0239190836497598,1084.3610826040103,330.88554479295817,3237.5969660393594,49.0,186.17009345794392,238.0,0.5405405405405406,0.9523064380890981,41.61448598130841,64.06869158878504,1158.7398291678765,2140.0,137107.0,10136243.0,835353673.0,89055.0,6427199.0,521649417.0,45884929601.0,4312067.0,338786639.0,29147754473.0,2662607514317.0,228260991.0,19049939741.0,1703607961335.0,159431591474147.0,2140.0,9.606537787476555e-12,1351976.902336449,12699063.98210894,-1.652011860642233e-11,721561.6705607479,7375850.506474368,818839547.0610759,606088.9509345795,2463312.218423005,481490489.6342455,8014310228.1486435,-1627621.0261485719,369301592.25827175,3700670429.4478903,376259708020.87726,0.42756263718906207,0.12582782683211644,0.013201274565171745,0.005858513728262659,4.973916838413386e-05,0.0019382513049019643,-1.343456594212894e-05,23,3.277148547793217,2.98571851939256,9.784643109946643,Multiple Crystal,../Images/Training/4 nM 4.bmp,23,85.55625253993271
23,68657.17579999998,295.6637131242081,0.8429565024546517,441.7375753630798,239.84707817747648,1652.2308255909488,85.0,166.36572890025576,210.0,0.6052631578947368,0.8397567383722494,24.62148337595908,28.691815856777495,524.2177953866121,782.0,22437.0,718483.0,24763185.0,19254.0,590480.0,19961900.0,719987108.0,539988.0,17457962.0,614094186.0,22870554482.0,16520208.0,556952810.0,20195442350.0,770127348206.0,782.0,-4.263256414560601e-13,74724.72762148337,-139373.18195197626,-3.090860900556436e-12,38047.77749360615,88463.10837841163,8701150.455962185,65925.95907928387,91140.2970284077,7166386.685689933,29042000.850862697,-21487.376246885062,7030336.999611854,29673862.543034688,1188811636.8961596,0.23000027259889594,0.015691321719262633,0.0008641052519716204,2.329437524041774e-05,-2.03120318905662e-09,-2.8554188591745296e-06,-2.607040101176142e-09,24,1.8417467442993536,3.7402994848987468,6.888684399016816,Incomplete,../Images/Training/4 nM 4.bmp,24,37.93259423475665
24,37840.46389999999,219.49937364057183,-1.167178129841472,262.14205072811376,188.385866555331,792.0171648270256,150.0,195.90255220417635,225.0,0.9268817204301075,0.6953818982845438,11.575406032482599,11.82830626450116,261.0179963144304,431.0,5098.0,79812.0,1415104.0,4989.0,55329.0,844493.0,14871615.0,70211.0,739063.0,10873679.0,187053985.0,1098651.0,11035737.0,155701877.0,2596031991.0,431.0,7.531752999057062e-13,19511.294663573084,9492.082622294243,-1.2434497875801753e-14,-3682.419953596288,7750.275746792926,-238197.09195147353,12461.299303944315,-6163.198846905436,419346.74004750827,-541796.9168077228,-2559.0312175322188,-265196.29555976746,405190.27314728324,-15345287.835152086,0.1721168273615958,0.003012225120796977,9.743588795913904e-05,2.5570871834061153e-06,-2.5565920781884256e-11,-1.3262549573965768e-07,3.1233203350365104e-11,25,1.391516548037428,3.0213281792339495,4.204228158455833,Incomplete,../Images/Training/4 nM 4.bmp,25,24.36101025702305
25,122301.08169999997,394.61192782824736,1.0302245172135045,710.6068806100931,273.1636846788936,2138.253266100231,59.0,162.35821966977747,234.0,0.7232606438213914,0.923162887065685,23.95549174443647,39.725771715721464,771.5897737139858,1393.0,55338.0,2586064.0,134471730.0,33370.0,1513949.0,76254129.0,4136253275.0,986408.0,47190699.0,2451637499.0,135345808521.0,31730356.0,1562329343.0,82571951019.0,4603145362073.0,1393.0,-5.684341886080802e-14,387719.2447954056,933449.4766860673,-1.3464784842653899e-12,188299.99784637478,-657031.2596162021,101730532.30228373,187013.24048815502,-1016758.114333848,67930811.69440164,-663883450.9625636,-859520.9778747091,50710620.828076474,-563551386.8898385,29628598659.403576,0.29618530828873146,0.04836491382895801,0.003261249221578788,0.00043981266448375847,-5.650179062400617e-08,-3.586756805221669e-05,5.236975404913761e-07,26,2.6013958679954765,3.009052296629086,7.827736211033202,Incomplete,../Images/Training/4 nM 4.bmp,26,57.451623785317175
26,110448.50019999998,375.00319746814097,1.3741729229678337,448.27930435706327,316.4744019058252,1303.600235051231,109.0,191.6430842607313,235.0,0.9480030143180106,0.7082358198064053,17.482511923688396,23.13195548489666,452.29058911279594,1258.0,29100.0,849656.0,27804270.0,21993.0,526036.0,15607800.0,515266162.0,477631.0,11651358.0,345909486.0,11366839896.0,11617509.0,287408704.0,8504591532.0,277200646414.0,1258.0,1.1937117960769683e-12,176516.09538950713,-16259.691311061877,1.7763568394002505e-14,17294.903020667738,-46451.004612767574,4638335.675639603,93138.11526232108,-1897.7267623933483,10120504.5603884,-3508828.946002282,10742.926130001459,2914583.7718848563,-7063473.53708337,604320306.1160758,0.17039071446831106,0.0032534691857364355,7.185908820998362e-06,5.09338533219646e-07,-2.2197232863808187e-13,-6.812828356097549e-09,9.488109040227067e-13,27,1.4164788736703575,2.9080089631193142,4.11913326070255,Crystal,../Images/Training/4 nM 4.bmp,27,41.41029039271619
27,3285008.8103999994,2045.1413452875804,0.0014905148805732695,7792.438470589761,565.6672786303841,18420.785179862,54.0,89.54476694462262,180.0,0.8351412883353422,0.9973617337236083,378.5001336326705,31.475304682488776,6930.5197240755315,37416.0,1177680.0,45594172.0,1973513190.0,14161961.0,448150020.0,17408308872.0,755017548966.0,6977654069.0,220512357984.0,8557390814184.0,370783572908046.0,3865125046949.0,122015605761504.0,4731211873189980.0,2.0484175919046954e+17,37416.0,-1.7264767393498914e-10,8526335.18152662,1684739.2270541615,2.1487380763574038e-08,2397982.6234765644,-45790.265438813294,919859831.1949955,1617349937.9993317,-926703293.6519773,367260981180.1473,-392373626950.754,-252285937.124056,381267348280.93945,70148843677.24983,168319839174822.22,1.1613758195028936,1.3206608083226905,0.00010639395333324924,1.2536749378382969e-05,-3.476663737319738e-10,-1.2389727869381476e-05,-2.9793782455680504e-10,28,13.77565711323646,2.3639307835904986,32.564699914167086,Incomplete,../Images/Training/4 nM 4.bmp,28,589.6035119469373
28,2999142.1039999994,1954.1305808704333,0.0005738553034784349,7381.250074258398,544.6239427143264,17149.004748934745,68.0,90.03811475409836,146.0,0.8486745670915008,0.9972741877955992,347.0418325526932,30.439080796252927,6468.490444686457,34160.0,1039799.0,38863897.0,1621985645.0,11854949.0,361609904.0,13535948974.0,565674632300.0,5439048869.0,166305183016.0,6233349213422.0,260756823761908.0,2807106145805.0,85994923478456.0,3226270305567826.0,1.350575746709347e+17,34160.0,4.239808504280518e-11,7213371.227137,-132435.03263042873,2.0877905626548454e-08,756153.5535421594,2517700.7596013737,446038008.21504563,1324885643.2212827,220701207.9158942,277967168739.8084,117715029618.96506,-52824128.94839105,46206106582.103874,141037099532.9665,29201182832065.14,1.141565362655231,1.2750990970381166,9.506735256787702e-06,1.1003280259070266e-06,-2.973255763292383e-12,-1.1202372405114233e-06,1.955642646843935e-12,29,13.552929820659964,2.3233198410037237,31.487790756070332,Incomplete,../Images/Training/4 nM 4.bmp,29,558.540045391932
