,area,equivalent_diameter,orientation,major_axis_length,minor_axis_length,perimeter,min_intensity,mean_intensity,max_intensity,solidity,eccentricity,centroid_local-0,centroid_local-1,feret_diameter_max,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,label,major_axis_length/minor_axis_length,perimeter/major_axis_length,perimeter/minor_axis_length,Labels,Filename,Region,facet_score
0,118525.81499999997,388.4736216655696,-1.3448682217122727,423.1211905673095,370.15528759297393,1416.9819674951793,92.0,208.21481481481482,242.0,0.9215017064846417,0.4844463663695835,19.708148148148148,22.633333333333333,452.87256309032455,1350.0,30555.0,861589.0,26840169.0,26606.0,593367.0,16506073.0,507020805.0,658056.0,14857851.0,410468397.0,12436012137.0,18299048.0,421951305.0,11647031935.0,349888504407.0,1350.0,5.229594535194337e-12,170027.50000000003,-357040.1999999993,-4.789058039023075e-12,-8815.466666666689,-75203.86370370403,-3295241.0696296343,133701.01037037032,311323.2461234569,11927582.059370095,37650808.05243907,59984.222349520336,-351886.63062298886,1596585.1937447959,-307209458.92747587,0.16665487537468882,0.0004908808041580654,0.0003898881785796914,5.177653973950506e-07,5.40068317773076e-12,5.258613340859852e-09,4.995027223451468e-12,1,1.143091034356849,3.3488797041701646,3.828074364976532,Crystal,../Images/Training/39.5 hold 3.bmp,1,42.42490605819463
1,336174.3300999999,654.2403617999827,-0.8349957903171821,900.1927439163863,598.983136116865,3169.343344450641,49.0,197.95037868895272,253.0,0.7982072128413592,0.7464920647542708,39.97806215722121,42.021676677983805,911.2054012680126,3829.0,160901.0,8415653.0,497311475.0,153076.0,5820107.0,298924953.0,17854066097.0,7652110.0,256709471.0,12502377917.0,733387414265.0,432075316.0,12722888843.0,575475300609.0,32584364761745.0,3829.0,1.0231815394945443e-11,1654323.200835727,4636756.267083149,1.9525714378687553e-11,-612403.1791590492,13951871.05477681,-542142251.8641627,1532428.1572212065,-15879636.600965962,680359975.3277081,-14686926064.55942,3631770.5443753432,-592817298.2506315,14972317715.389343,-560458487915.3934,0.21735890966234941,0.007048127507571692,0.005095439515414069,0.0005292341847768965,7.64559829135421e-07,3.828519707146345e-05,-4.1322924751941873e-07,2,1.5028682606195338,3.5207386038928377,5.291206301728475,Multiple Crystal,../Images/Training/39.5 hold 3.bmp,2,81.59741491479424
2,167516.48519999997,461.83180201419935,-0.27810048296502754,662.0152729173822,362.23264725414606,2022.8166918129234,60.0,185.58647798742138,240.0,0.8461197339246119,0.837023721181988,30.47589098532495,21.591719077568133,652.544990786076,1908.0,41197.0,1099165.0,32956867.0,58148.0,1145421.0,28387479.0,793474683.0,2335952.0,43836551.0,1038893941.0,27737584817.0,105566888.0,1940896443.0,45007263405.0,1173813587397.0,1908.0,8.526512829121202e-14,209650.94916142552,170556.30282678275,-4.206412995699793e-12,-110094.28092243186,-356304.14343666134,-33856914.23904749,563839.890985325,109774.24431611062,61905001.78626689,144454105.66672266,9623.399355683068,-41750474.266124114,-193087631.36382985,-13333413338.596077,0.2124703994179727,0.01312405464658667,4.699890250313011e-05,7.86076843771358e-06,8.720732527923361e-11,6.249857403780308e-07,-1.2338421138478992e-10,3,1.8275969268250567,3.055543844024526,5.584302539118443,Multiple Crystal,../Images/Training/39.5 hold 3.bmp,3,56.94864508235412
3,599916.2176999998,873.9777181962871,-0.24400300891925225,1093.8051660747299,771.1447565285113,4653.913028137359,79.0,198.50168300892727,255.0,0.7391022174148189,0.709196293993196,57.88423825552466,50.88043319186302,1195.9879158252393,6833.0,347666.0,20752804.0,1362593588.0,395523.0,19438193.0,1141481313.0,74336233337.0,28543299.0,1360824051.0,78557506839.0,5057395715355.0,2290532997.0,106319685749.0,6037953471333.0,383974209049025.0,6833.0,-5.786660040030256e-11,3063407.313917752,-5053051.816341033,-9.71880353972665e-11,-686188.5773452367,10048205.92706244,-740976754.2751875,5648751.432460119,-12032360.646328183,2544820191.4812136,-21961647833.4551,-15621470.440194346,-1236773744.963116,11491464629.878925,-1407394881379.1565,0.18659626169550053,0.003930108501832467,0.00020531384836831702,2.168246086362409e-05,-1.4460776372536486e-09,-1.3454836002534167e-06,4.1685486610801104e-11,4,1.4184174330624382,4.254791595873116,6.035070573633981,Multiple Crystal,../Images/Training/39.5 hold 3.bmp,4,100.99553479893474
4,183319.92719999995,483.1254295201311,-0.5922879251298027,624.8350431728854,556.1407574569307,3326.749879562744,58.0,176.81082375478928,253.0,0.5446009389671361,0.45584314356091227,29.509099616858236,42.98802681992337,809.0820022717103,2088.0,89759.0,4355871.0,227020757.0,61615.0,2592856.0,123193716.0,6319272154.0,2360935.0,97822596.0,4505591264.0,224042727774.0,108691585.0,4429805554.0,196801057578.0,9411442075912.0,2088.0,3.581135388230905e-12,497308.70067049784,-2986181.89653566,9.663381206337363e-13,-55851.27250957853,-542243.2560466852,-341572.949905538,542731.8271072797,-373099.5716688852,57080905.961625904,369480313.1172644,6991463.793376405,-63698040.36246628,387097957.2303665,15420667.666048616,0.23855541237691422,0.000765004348509207,0.0019592753547545915,0.001332343238295067,-1.788252380509584e-07,3.592901701855269e-05,2.1452019709777936e-06,5,1.1235196032566892,5.324205029650148,5.981848722569803,Incomplete,../Images/Training/39.5 hold 3.bmp,5,63.12550679672976
5,57945.95399999998,271.6230477890355,-1.096718507979855,289.4353497808069,264.62885948952646,982.0236607639231,128.0,216.8318181818182,249.0,0.9004092769440655,0.40505233316935735,14.718181818181819,16.23181818181818,318.58,660.0,10713.0,211905.0,4617177.0,9714.0,155053.0,3029683.0,65533327.0,177220.0,2840615.0,55059961.0,1178345657.0,3604200.0,58316917.0,1124748103.0,23841091099.0,660.0,6.252776074688882e-13,38013.53181818182,-56483.90566115692,-3.410605131648481e-13,-2622.8818181818183,-4025.0366115702736,-153955.44795097673,34247.58181818182,41220.28479338846,1419568.3405976712,1306341.367901672,-12280.453884297556,-301320.683329076,-89678.23359385564,-25782465.367348883,0.16588869062526088,0.00021976809338003478,0.00025913385436461165,3.983343976399228e-06,-9.908511215972516e-11,-5.013611131647973e-08,8.099625921234586e-11,6,1.0937406839871229,3.3928946879074107,3.7109469566481272,Crystal,../Images/Training/39.5 hold 3.bmp,6,29.595477467028264
6,29850.945999999993,194.9548791257965,-0.3691272855590085,226.67961772541548,179.50928343642698,753.8712594298462,52.0,181.06764705882352,221.0,0.8333333333333334,0.6106410999342556,11.99705882352941,10.511764705882353,273.66175417840174,340.0,3574.0,45972.0,660664.0,4079.0,41317.0,526555.0,7570099.0,60769.0,598979.0,7581765.0,109104257.0,1006517.0,9664621.0,121177075.0,1739501947.0,340.0,-1.3500311979441904e-13,8402.952941176469,757.4246366781954,-3.623767952376511e-13,-1560.4882352941183,7833.182076124562,-85658.84229615312,11832.997058823528,-2367.89110726644,306534.11616659886,-70579.02442538309,-6454.591193771596,-156625.18795384694,285510.4754295705,-8983485.258421486,0.17505147058823528,0.0016093031078239753,0.00021107918126119914,9.891214119176444e-07,1.3668544045077281e-11,2.1858652808158267e-08,-4.175646353126519e-12,7,1.2627737874386527,3.3257125938117444,4.1996226880200815,Incomplete,../Images/Training/39.5 hold 3.bmp,7,21.82063243813066
7,225199.04849999995,535.4739339939264,0.21147565946398073,730.6296988912053,493.74650515581106,2507.231494481077,111.0,196.20038986354777,255.0,0.8053375196232339,0.7371014125804869,45.72319688109162,24.63157894736842,829.8667866591601,2565.0,63180.0,2024696.0,73988706.0,117280.0,2997477.0,103142639.0,4031299845.0,6313810.0,167047755.0,6018794281.0,244892081955.0,368064346.0,10065970689.0,375609048911.0,15729437843709.0,2565.0,1.1368683772161603e-12,468472.84210526315,1038795.0415512468,-3.1889157980913296e-11,108685.42105263159,5212878.10946958,65272295.66206608,951393.4697855753,1589755.7165281626,164082317.2293911,1689479757.8504558,-7624733.560586541,100241828.60190721,3055146091.6923723,54523745328.58658,0.21581057220126054,0.0064792567900586705,0.0049995962514548355,0.00011462152706297142,-5.9480379680243596e-08,-4.49507450909058e-06,6.317450970796975e-08,8,1.479766826219137,3.431603585627604,5.077973146746371,Multiple Crystal,../Images/Training/39.5 hold 3.bmp,8,66.54647204450336
8,228271.93999999994,539.1148866071242,0.3409922243656551,761.387649921674,450.50066916531745,2749.576809338538,45.0,181.02384615384616,235.0,0.6760270410816432,0.8061701977678538,33.870384615384616,33.46346153846154,822.8546000357535,2600.0,87005.0,3365111.0,142155167.0,88063.0,3166669.0,129724179.0,5718377467.0,3977705.0,152577541.0,6533675747.0,296643032695.0,209559715.0,8501471305.0,376894290543.0,17483673248431.0,2600.0,-1.3571366253017914e-12,453622.5288461538,-812655.6151997006,-3.512923285597935e-11,219776.18653846168,1037631.2259393448,61040818.54529894,994977.3196153849,4581954.7864334285,185690373.61758614,1038099211.7341352,7432787.765546453,266916458.12269706,2517242057.4484205,70326885240.7902,0.21428991841147021,0.01064106863744163,0.0019409535459285695,0.0007234483121617106,8.56976088503967e-07,7.37286051404578e-05,2.253706502596509e-08,9,1.6900921619769498,3.6112705658167616,6.103380078064974,Incomplete,../Images/Training/39.5 hold 3.bmp,9,66.76249173719164
9,213785.45149999994,521.7279855814342,0.735022214195292,621.8217734504693,470.69747619739616,2521.205706609513,56.0,196.50102669404518,255.0,0.7578586990351697,0.6534551288483278,45.389733059548256,30.36016427104723,852.7214819623109,2435.0,73927.0,2757187.0,114578983.0,110524.0,3497899.0,133290893.0,5590813579.0,5558192.0,181765975.0,7000022993.0,293865839131.0,301355080.0,10126785745.0,392225399495.0,16419555451129.0,2435.0,8.963496611613664e-12,512751.1359342914,-264084.68025821337,3.844036200462142e-12,142372.20410677601,-501975.9338822535,42134057.30404317,541537.1433264891,93880.15096728207,75523730.73974892,100778548.13446908,-90223.92855592593,84854880.05575433,-35902197.62480564,15635262779.394947,0.17781215576416487,0.0023298637497547576,2.6891609023701486e-05,4.435185110773738e-06,-4.3147963262154676e-11,1.3133858248334495e-07,2.200870488362067e-11,10,1.3210646007154205,4.054547161672102,5.3563187272161965,Crystal,../Images/Training/39.5 hold 3.bmp,10,58.853893620438846
