,area,equivalent_diameter,orientation,major_axis_length,minor_axis_length,perimeter,min_intensity,mean_intensity,max_intensity,solidity,eccentricity,centroid_local-0,centroid_local-1,feret_diameter_max,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,label,major_axis_length/minor_axis_length,perimeter/major_axis_length,perimeter/minor_axis_length,Labels,Filename,Region
14,116506.48629999998,385.1501857396741,-1.4046840730986747,552.1006190166848,304.08242704799505,2071.112753910923,136.0,199.79577995478522,247.0,0.7778429073856975,0.8346547060638023,19.324039186134137,35.148455162019594,591.7212495761834,1327.0,46642.0,1921854.0,86069230.0,25643.0,868600.0,34694652.0,1515553660.0,588359.0,19626238.0,766904882.0,32785298962.0,15011525.0,496090924.0,19005961764.0,795865000336.0,1327.0,3.133493464702042e-12,282459.75433308224,-1337017.1674508199,-2.7213786779611837e-12,-32711.835719668463,-143789.0239084033,-11251657.406567411,92832.66314996233,210577.65992382416,14189350.652806876,44188777.32046433,54248.58755918063,-7103009.287759868,-21973511.936827492,-1745646820.9733496,0.21312183369292262,0.012976576979276604,0.0009992573176613125,0.0003103106242601968,1.7279468965186164e-07,3.1175060922454336e-05,-6.679371107936428e-10,15,1.8156281649565487,3.751332062622325,6.811024149001637,,../Images/Training/4 nM 7.bmp,15
15,66023.26879999999,289.93695298950644,0.8697870315793983,327.04546726471585,311.9731841323662,1570.231494481077,139.0,192.69281914893617,227.0,0.734375,0.30008076251209276,16.960106382978722,20.011968085106382,397.535432383077,752.0,15049.0,356273.0,9341623.0,12754.0,257774.0,6092136.0,157767698.0,270556.0,5589688.0,131683434.0,3346146628.0,6470758.0,136701110.0,3208577040.0,80035810298.0,752.0,1.5063505998114124e-12,55112.892287234026,6064.211354826969,9.094947017729282e-13,2541.359042553191,-52007.17348772062,-598205.9488381211,54246.80319148937,89126.52332786338,2225213.514912672,6279299.078330816,42036.351318470064,480692.21082329226,-8546239.736523407,-48211319.38791168,0.19338447734891956,8.31287300933355e-05,0.00044706463051669663,3.809247038243234e-05,-2.84424418637857e-09,-1.387214806001789e-08,4.076901699685926e-09,16,1.0483127521817859,4.801263590698557,5.033225848715408,,../Images/Training/4 nM 7.bmp,16
16,185251.45899999994,485.6639613134628,-1.1797469730278287,581.4464166996707,420.6951549168464,1860.701494481077,138.0,197.86398104265402,248.0,0.8944467994913099,0.6902907216152782,27.043127962085308,30.46824644549763,593.3511346580539,2110.0,64288.0,2431400.0,103080640.0,57061.0,1653281.0,60960207.0,2552916647.0,1844101.0,51267547.0,1824337413.0,74394693037.0,65927773.0,1774428293.0,60924989871.0,2410570919363.0,2110.0,-1.9895196601282805e-13,472657.37251184846,198062.97247231318,1.5802470443304628e-11,-85267.61042654025,403454.80957480904,-34118612.51387808,300993.07535545033,-307170.9388162889,44687511.61541595,-39481870.92593026,-222074.8230875309,-22278271.791713532,140615413.94663775,-7147660306.304524,0.17377202845113515,0.0029539537960472035,7.903197451195488e-05,1.0712657521587959e-06,6.4793888277326655e-12,1.6895039562919928e-08,-7.428262517193795e-12,17,1.3821086596887433,3.2001254819705394,4.422921140722096,,../Images/Training/4 nM 7.bmp,17
17,165497.15649999995,459.03978498276587,0.3106847813956046,621.073427595925,371.24557383394,2236.005824135128,117.0,203.3660477453581,249.0,0.8245844269466317,0.8016838481238658,29.79946949602122,28.72944297082228,649.8485123473008,1885.0,54155.0,1771875.0,62722901.0,56172.0,1710620.0,57453416.0,2058932780.0,2160410.0,67806784.0,2305662476.0,82932060532.0,94743450.0,3033931130.0,103988878058.0,3746394476414.0,1885.0,3.47455397786689e-12,216032.01591511932,-595039.7261361156,-1.3990586467116373e-11,96829.72944297083,-911247.3930865638,28598269.19456672,486514.1994694959,-31541.02628175805,55192480.835690424,-295115837.52670336,1368648.0131559337,56867469.73030001,-361203076.3465702,15529474100.038124,0.19772072283196682,0.008765229488614062,0.000717681342197525,2.5287678043118885e-05,-3.339065145380772e-09,-1.8992767701581783e-06,6.752786622297334e-10,18,1.6729450029045578,3.6002278068639098,6.022983118811013,,../Images/Training/4 nM 7.bmp,18
18,263390.69999999995,579.1022836731659,-1.1406670134443224,1026.572872329838,366.1162077866136,3213.539524074257,105.0,175.35166666666666,230.0,0.7725985063095545,0.9342421664308252,31.166666666666668,43.72933333333334,1044.0719852577215,3000.0,131188.0,7645820.0,520137802.0,93500.0,3344190.0,165060402.0,9848804772.0,3541904.0,109800758.0,4695893962.0,244181101004.0,150846038.0,4255964940.0,163643925192.0,7555156900974.0,3000.0,1.5234036254696548e-11,1909056.2186666667,18827679.137038194,-7.169376203819411e-12,-744502.6666666666,-8121110.776888889,-1025728509.8287501,627820.6666666665,1322990.2382222225,517721198.40566397,7506032133.981266,1322541.7777777726,-294588512.4328888,-2657339099.8028464,-394233147881.5349,0.2818752094814815,0.0476382891654797,0.0036236433938103335,0.0018611934843898463,4.821586303712101e-06,0.0003973481157482563,3.388858154811475e-07,19,2.8039536368413485,3.1303569485340406,8.77737575045361,,../Images/Training/4 nM 7.bmp,19
19,238105.19279999993,550.6041656941492,0.6358362607581575,617.2518748055454,560.8343254195187,2621.507634929488,129.0,197.5269174041298,246.0,0.8230652503793626,0.41766994544467434,37.09882005899705,32.8462389380531,684.0741750716803,2712.0,89079.0,3578401.0,161923377.0,100612.0,3366035.0,139677373.0,6566208125.0,4422890.0,151652799.0,6426083077.0,307798435149.0,211784098.0,7396622825.0,316797828655.0,15294722845403.0,2712.0,-6.203038083185675e-12,652490.8816371679,1522619.9315211638,2.894751105486648e-11,61309.20796460178,2895364.414248706,75301413.16670409,690303.5162241888,1828498.7147975566,122515150.9989485,1007128559.437217,-3518794.119725724,-16337413.48106707,477491121.2488633,12230029417.392885,0.18257030887813105,0.0003043721232387125,0.0011224043658647521,7.919680222265315e-05,-1.798271775765013e-08,-8.547464320462416e-07,-1.530219116381333e-08,20,1.1005957496339493,4.2470630579378135,4.674299549993721,,../Images/Training/4 nM 7.bmp,20
20,283145.00249999994,600.4260271483378,1.2159830441526978,798.6268006375278,576.3959542702256,3353.147791630308,128.0,190.63627906976745,249.0,0.7146022601373809,0.6921707335273756,34.59472868217054,53.632248062015506,930.6537586557096,3225.0,172964.0,10656036.0,705179810.0,111568.0,6212183.0,382869467.0,25028027027.0,4707070.0,270149535.0,16656501631.0,1075936323879.0,227276530.0,13336106225.0,824182413581.0,52858428605945.0,3225.0,8.498091119690798e-12,1379587.8462015502,-14308151.291413954,3.169020601490047e-11,228540.34821705442,-10287472.542954775,315610929.8896886,847405.3103875971,1886206.4357331397,279249365.87202275,-3718475638.303198,5805206.868636646,130448578.40127534,-1730474361.8459315,114292831702.38644,0.21412108951040415,0.004549573485998191,0.004996838206076414,0.000499903847513236,7.89654034298384e-07,3.371388330687021e-05,-2.628701871077138e-08,21,1.3855524049412673,4.198641704678026,5.817438111403341,,../Images/Training/4 nM 7.bmp,21
21,66550.05019999998,291.09131835001574,-1.4059084379837021,423.4373920577285,237.67203074825147,1467.494447179667,145.0,205.71767810026384,255.0,0.7987355110642782,0.8276178248433379,11.54089709762533,25.99736147757256,480.16107651495446,758.0,19706.0,607268.0,20711606.0,8748.0,216695.0,6225405.0,197006429.0,133226.0,3234705.0,88346787.0,2624139591.0,2369022.0,56798915.0,1491614853.0,42039499289.0,758.0,-3.979039320256561e-13,94963.99472295515,-13386.306096449347,-9.947598300641403e-13,-10729.918205804754,-225113.3742385531,-2711165.472795056,32266.232189973613,18846.283547176557,2749241.7297825585,15934042.428986466,86711.91240662485,-1154487.6983855367,-11705915.209468054,-202869349.7857938,0.22143786751855105,0.013302688679837723,0.0023402624058026437,7.666739452933347e-05,-3.176289887726135e-08,-8.114542880850697e-06,-6.763125963507317e-09,22,1.7816037954682378,3.4656704266202336,6.174451585908635,,../Images/Training/4 nM 7.bmp,22
22,120808.53439999997,392.1966386133086,1.3041452685464363,490.248458176283,319.0743506830374,1588.6385417824872,132.0,196.5530523255814,245.0,0.9130723291307233,0.759213093927734,18.335755813953487,23.949127906976745,508.14435242360014,1376.0,32954.0,1015222.0,35123162.0,25230.0,638730.0,20383614.0,723790920.0,571758.0,15011248.0,486177120.0,17397973558.0,14428002.0,388877160.0,12681408048.0,454331351346.0,1376.0,1.3642420526593924e-12,226002.43895348842,-15642.16754833765,6.689759857181343e-12,34493.50290697674,116572.68488879204,12053399.86694916,109146.88081395354,53213.63322234973,14845554.37375987,6421396.986457771,-58194.18159309032,5621817.151213194,2829591.3197292658,1738442807.2995586,0.1770114968011858,0.005136703614465711,3.996049979314286e-05,9.770676953034052e-07,3.194301958205581e-12,7.423539992639042e-09,5.202916331847417e-12,23,1.5364709107040913,3.2404763651724657,4.978897671911622,,../Images/Training/4 nM 7.bmp,23
23,278842.95439999993,595.8471920827216,1.445001865864876,1068.4281596770647,385.2667219196764,2769.4299187379484,125.0,194.71064231738035,245.0,0.8230111427831044,0.9327236240895255,23.223866498740556,56.97701511335013,1038.380339230284,3176.0,180959.0,12856065.0,1016661503.0,73759.0,4482046.0,321704584.0,25363276804.0,2083899.0,130300700.0,9357442026.0,733088917658.0,65722663.0,4165485058.0,298392677596.0,23218207708672.0,3176.0,-9.068656936506159e-11,2545561.3221032745,-5915678.646087207,-1.4516388091578847e-11,279478.34225440805,-8710636.720097892,519505111.2417865,370929.83091939584,-1414780.2373066056,305926662.70457673,-3767629508.871188,97621.07979616335,67165663.04748689,-2025637425.9812288,121234686875.08287,0.289134340462659,0.04954888590958426,0.0021376585796565825,0.0003958538266492531,1.6846056407287831e-07,8.011531572028562e-06,3.2283253117292946e-07,24,2.773216836256674,2.592060021681772,7.188344492715729,,../Images/Training/4 nM 7.bmp,24
