,Unnamed: 0,area,equivalent_diameter,orientation,major_axis_length,minor_axis_length,perimeter,min_intensity,mean_intensity,max_intensity,solidity,eccentricity,centroid_local-0,centroid_local-1,feret_diameter_max,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,label,major_axis_length/minor_axis_length,perimeter/major_axis_length,perimeter/minor_axis_length,Labels,Filename,Region
0,0,22211.73773099999,54.938466438364316,-1.5408390414205613,86.60795276887423,42.861262346251735,178.6959053971795,140.0,157.66666666666666,174.0,8.160967741935481,8.142123340581108,10.758148148148146,45.11481481481483,94.16733456990272,252.99,1218.1,7214.9,47824.48,290.47,1368.02,7196.16,41958.859999999986,665.27,2960.92,14336.1,75822.04,1808.41,7720.879999999999,35025.06,170084.24,252.99,-1.6644463585180345e-14,1349.9740740740738,86.32224965706442,0.0,-30.539259259259246,-793.5323182441699,635.3291297058374,331.7674074074073,-172.10466392318244,1288.7098978814204,-1160.4729510895847,282.74521262002753,-272.6997043133669,-744.7162334483037,634.0219001196398,2.30691561245745,0.2089474953917576,0.055460045061442254,0.001995266412641752,-1.6815606610448024e-06,-0.0002869309675857236,1.4798791914551491e-06,1,2.0206580027722447,2.0632736334739974,4.1691703793881985,Incomplete,../Images/Additional/Images to rachel (from Yuanwei)/cube/12.tif,1
1,1,352919.8328369999,218.9895021653619,0.7445402038044895,380.1621344737143,141.63375519181992,1182.1231877498205,88.0,150.65501165501166,202.0,6.5789361702127644,8.695430515350424,135.48277389277388,157.21505827505825,419.9809187332205,4019.73,67445.26,1352578.24,30377671.18,58122.10999999999,1152688.0299999998,25572538.41,614248935.13,1090415.01,23337849.63,544774620.37,13568192341.169998,22804621.67,511365154.50999993,12324817215.929998,314227230787.56995,4019.73,2.6631141736288553e-13,220944.25053613054,269112.6666243939,-5.5259619102798754e-12,177483.02351981352,59511.768248868466,22121311.677899264,250015.3635431235,-90266.06176411775,20683859.683815453,10258820.08472982,-191963.19514216922,21333663.221811995,-17614541.921406485,2877064559.3775325,2.5589929096193456,0.3996760271030647,0.003149207251250239,0.0003637791397755226,-3.3630300652228625e-08,-7.341479198161659e-05,-2.440853579880264e-08,2,2.684120984851715,3.1095237546114856,8.346337962647583,Incomplete,../Images/Additional/Images to rachel (from Yuanwei)/cube/12.tif,2
2,2,325772.15338799986,210.39830810660717,1.2276930362316163,329.49170565444734,155.1479655607381,1084.817833717154,65.0,124.89141414141416,186.0,6.783400365630713,8.266235316551954,76.82926767676767,182.90429292929286,384.17,3710.52,72430.09999999999,1675355.9999999998,43131440.54,30424.39,664595.36,16531828.319999997,449551723.64,338303.85,7687391.619999999,196698881.7,5472190209.94,4247036.83,98513481.44,2565258669.48,72430104047.84,3710.52,-5.858851181983482e-12,261505.8156565656,218860.26209468333,2.496669537777052e-13,70705.12085858584,34398.77334914815,13057207.369706815,88839.21785353537,-75860.43897893078,7341136.0568963485,-4168481.454684283,16242.684316013632,3215636.2714091376,5858000.572871249,578315384.4282794,2.2341153550026847,0.2161730398601086,0.002267170237055891,0.0002522128897381112,1.3756001059096891e-08,3.8308194838997665e-05,1.5002155211186646e-08,3,2.123725596166173,3.2923980030467006,6.992149911836673,Incomplete,../Images/Additional/Images to rachel (from Yuanwei)/cube/12.tif,3
3,3,125043.85685599994,130.35162337978036,1.5706201418667347,167.34846632468452,106.96155670173503,484.7477553667436,87.0,132.70394736842104,178.0,8.138514285714285,7.206262780894594,53.692565789473676,94.68631578947368,187.6341037764724,1424.2399999999998,14392.32,173832.24,2307999.66,8161.269999999998,82474.73999999999,992526.62,13139907.06,58365.73,596325.5399999999,7109524.98,92661635.34,468040.87,4824463.079999999,56774066.84,725210227.3199999,1424.2399999999998,1.0985345966219028e-12,28394.05894736842,-22479.746094182792,-2.496669537777052e-14,2.958947368421762,-3637.662409972304,23833.777007945773,11599.50519736842,6490.567853185602,126911.48908897072,51191.493738554826,653.4431327908462,-17082.544769235683,-102201.51534451604,53841.232922538555,1.7310233788407563,0.05639272078519768,0.0024908933049660785,0.00034798910139590344,3.318676986093585e-08,2.5182418948067936e-05,9.705793195514103e-09,4,1.5645664805659092,2.8966369756042485,4.5319811183982175,Incomplete,../Images/Additional/Images to rachel (from Yuanwei)/cube/12.tif,4
4,4,320836.2116699999,208.79829775218917,0.8829590860254636,382.3111396999967,130.32781951455007,1089.697872892359,82.0,143.37179487179486,194.0,7.041040462427745,8.808751114878326,115.05879487179487,206.28415384615383,416.20101357397004,3654.3,80450.81999999999,2015936.76,54605923.8,44872.92999999999,1152725.51,31848733.07,925251997.07,730644.49,20229651.97,587893261.49,17711504395.57,13568987.47,391824493.55,11726954302.55,360927402257.51,3654.3,-7.822897885034762e-12,244781.0150769231,-553595.7186177516,3.1624480811842662e-12,164830.69723076926,-163558.92099171595,25852670.97572821,179627.92135897433,96159.63867613368,18400157.034038834,-49709745.40368371,185570.3074711368,14993254.100293467,-5877393.182587017,2508026956.9623523,2.790328313188017,0.5209293807851954,0.01379700453318294,0.0024808621201166873,1.055802029899487e-06,5.779148163718736e-05,-1.1334646198130285e-06,5,2.9334576541220714,2.8502906657322504,8.361206969864963,Crystal,../Images/Additional/Images to rachel (from Yuanwei)/cube/12.tif,5
5,5,339757.3215889999,214.8669781489713,1.0891858101252263,294.64175789126426,163.2125513600984,820.793070224205,66.0,128.03389830508473,178.0,8.449366812227074,7.801082844321454,102.23055690072637,147.83273607748185,294.0747294481455,3869.81,61054.92,1166864.84,24730953.12,42221.22,734186.35,14990453.95,332144902.15,569602.2999999999,10597329.45,224976782.73,5112141916.29,8632918.319999997,169336560.85,3700210273.33,85637210583.37,3869.81,-1.6644463585180345e-13,203586.73171912832,-103026.50519050963,-1.5978685041773133e-12,68052.04123486683,112131.50347994053,6193840.715802435,108951.41060532688,125625.8606328816,5688537.482703541,17422206.24151323,40913.292941390064,4718900.3828354,15157204.356730398,402007074.22646815,1.83232675529818,0.10080441247793394,0.0028210709141062696,0.00021257651671457636,-1.9648712313341935e-09,-6.817756975136682e-06,1.745850837827955e-08,6,1.8052640892868077,2.7857323282978568,5.0289825346414485,Incomplete,../Images/Additional/Images to rachel (from Yuanwei)/cube/12.tif,6
6,6,1677397.5271669994,477.4229182650728,0.7456342332795679,838.5812367806328,333.3052317470922,2651.8911781677953,61.0,121.90338401177048,169.0,6.588079310344827,8.598081494277087,332.94518881804805,368.3756449239824,800.4634758688243,19105.43,751117.94,34747389.419999994,1742816982.86,678875.24,30703456.71,1514265488.9099998,78597563146.70999,29979989.64,1438600115.31,72960218609.82999,3848507495239.11,1485066441.9199998,73167311744.97,3759237188319.2095,199780253076470.25,19105.43,-4.8268944397023e-11,5217660.971603725,-33512839.747864664,-1.2929419312968091e-10,4013904.483967634,-36025379.528188586,2306901317.771431,5857444.819754778,-25297258.33714355,2154927049.594993,-29426971111.91867,3517940.9101780355,2275645234.493845,-25810985637.90566,1332811711970.087,2.6638724834723644,0.40043795872922056,0.043148445142654736,0.013673093299613932,3.2379852761364963e-05,0.0022665028511594265,-1.4416126896393066e-05,7,2.515955817390042,3.162354536274357,7.956344292189258,Crystal,../Images/Additional/Images to rachel (from Yuanwei)/cube/12.tif,7
7,7,454929.29500899976,248.63211014829258,-1.4170147129963409,438.3160172641337,157.52790661737916,1269.059683686718,75.0,132.3869801084991,191.0,7.620014705882353,8.743954004269463,89.15902350813742,229.8276311030741,455.9638792711545,5181.61,127094.68,3811566.08,126313615.54,49304.94,1115938.89,32568686.39,1071683658.51,575168.08,12271879.63,349471025.36999995,11346168840.25,7442234.939999999,151094201.54999998,4200662872.85,134192821039.05,5181.61,-8.322231792590173e-12,694184.0917179022,-1230522.5237310212,-2.663114173628855e-12,-93414.10486437613,882749.9050104797,-26593004.84514948,106013.29830018076,-58120.003864928556,13843630.692972047,-90216515.57635134,-48214.2250472028,-4416274.218737466,32975553.40499205,-1166981269.0649545,2.6166574234835567,0.4346237539595481,0.017306536860109925,0.00486411048284058,4.1176257012941925e-06,0.0006978041557747192,-2.393802230063469e-06,8,2.782465828919844,2.895307571938376,8.056094383131413,Crystal,../Images/Additional/Images to rachel (from Yuanwei)/cube/12.tif,8
8,8,642495.0802929997,295.47460935486293,-1.2319473315372376,464.67859058960914,217.95468531364838,1408.277872892359,72.0,116.33162612035852,169.0,7.376985887096773,8.275348078309772,113.1838412291933,221.9286299615877,483.7134880277787,7317.969999999998,173326.25999999998,5133148.3599999985,173641485.54,88396.57999999999,1818613.93,47036790.95,1422007381.9899998,1412190.18,26971741.77,630802745.4699999,17106515147.429996,26217765.98,484565361.61,10636120116.23,264880938672.55,7317.969999999998,1.2782948033418506e-11,1027912.5629705505,3370510.453010898,2.0472690209771822e-12,-275060.76505761856,-1938847.4164127372,-74799253.79075325,344413.82184378983,169120.21490031338,42216792.57642906,228361176.85891613,838761.9484140467,-22127904.792040303,-102990172.50854324,-5199199682.275747,2.2498592284004064,0.22081906421172068,0.019279137939959355,0.005046216059141504,5.1326609640076e-06,0.0007724854438451094,1.3683837290915965e-06,9,2.131996336398605,3.0306493593893804,6.461333331126938,Incomplete,../Images/Additional/Images to rachel (from Yuanwei)/cube/12.tif,9
9,9,1303911.2705049994,420.92942247065173,-1.3503113618623672,770.3198223452197,300.17331260309794,2531.298737658513,65.0,133.1173501577287,198.0,6.4459418402777775,8.629329827770695,205.57839116719242,325.2128958990536,708.2877145623802,14851.45,515462.44,23909635.14,1253857606.6,325841.75,10173749.23,442912938.09,22269597396.67,8356100.409999998,239468518.43,9915255863.57,483001175103.59,234764534.81,6219116452.33,245668003814.07,11637530048282.29,14851.45,-2.5033273232111238e-11,6019023.310801261,6189550.404871861,6.344869518670747e-11,-1135529.2248895892,-2842326.6129954,-840461298.0762467,1207111.857160883,-726899.9699047444,585800747.8744196,534698474.3011049,-1537055.9933371802,-241402929.5062213,-1251711876.3457036,-169437892652.62982,2.876388527286428,0.4787589817894018,0.0012687306623813854,0.0005229778841639699,1.0773820622917343e-08,7.249989733199438e-05,-4.4169260720233915e-08,10,2.566250196145084,3.2860360907655686,8.432790762466968,Incomplete,../Images/Additional/Images to rachel (from Yuanwei)/cube/12.tif,10
