,area,equivalent_diameter,orientation,major_axis_length,minor_axis_length,perimeter,min_intensity,mean_intensity,max_intensity,solidity,eccentricity,centroid_local-0,centroid_local-1,feret_diameter_max,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,label,major_axis_length/minor_axis_length,perimeter/major_axis_length,perimeter/minor_axis_length,Labels,Filename,Region
0,1377950.3962749995,432.71510529462756,0.793284029945032,602.9555748408737,356.8254122319505,2679.725351121026,61.0,109.18268656716418,160.0,6.7042930371636045,7.553057075232472,253.8738567164179,276.15487761194026,665.467928303085,15694.749999999998,462559.42,16395682.219999999,642937410.8199999,425238.70999999996,13852233.2,512730972.55999994,20547793510.219997,14242952.829999998,487215263.2,18368073366.719997,739338630606.94,538718976.77,18931725997.82,718911309416.7799,28840070839934.957,15694.749999999998,1.1984013781329849e-11,2763020.5318089556,-3144852.833183148,1.205059163567057e-10,1319496.3893373127,-9276050.545857681,509599519.83693457,2721395.5906388056,-4058180.7882809555,495352270.5342108,-5026745312.444406,5346964.552798898,478395407.762854,-3862677709.6101303,166973172165.27484,1.9547930042139492,0.09444644192915307,0.009568618727671204,0.0005449285425990415,1.2526523252705182e-07,4.646017204259021e-05,-4.409263532083475e-08,1,1.6897775611590382,4.444316402295863,7.509906131290614,,../Images/Additional/Images for model (from Alexa)/2.tif,1
1,1081793.8931949998,383.40478316719464,0.8835016935296729,517.0195105128328,307.1153133764878,1927.0716511818976,62.0,114.54296577946768,159.0,7.5918361059765855,7.537760821578257,231.30717870722432,215.5313764258555,532.7732892140896,12321.55,283423.75999999995,8253283.399999999,272988934.46,304168.94,7740697.55,238846893.89,8185223552.329999,8946775.84,241419371.17,7642397845.11,265385455378.38998,289678965.85999995,8096515026.289999,259420447301.14996,9046301655181.19,12321.55,-8.18907608390873e-12,1733890.3258707218,3377721.199866745,2.603194104722206e-11,744118.0084638781,874081.1365165142,204770258.2768765,1438082.2048060845,-1115376.502873642,170009119.65605178,160177036.9995143,-2181327.9673081245,155454405.4127098,-57854414.03507279,33627790137.133373,1.834331871605376,0.08217288463741121,0.0018533334513263185,0.00018529673611296306,-6.746757936366687e-09,-1.3056133788667927e-05,-9.422408210154963e-09,2,1.6834703057578466,3.7272706580655552,6.274749474375871,,../Images/Additional/Images for model (from Alexa)/2.tif,2
2,10018316.373633996,1166.762963994513,1.1017742037412814,1432.4742806839165,1105.0643173356414,7254.806999391281,61.0,136.9358679586139,204.0,7.115730855574956,5.9621792916865495,549.4945631466578,699.1906618492363,1494.0669939798547,114107.85999999999,8514743.879999999,788265098.8599999,80402842133.09999,6691744.789999999,526549811.08,49988439709.799995,5141990980775.26,505415035.84999996,41336457506.38,3948205948510.0195,403239823281583.3,44266683944.39,3721102571793.6997,354638244168009.6,3.579345944100987e+16,114107.85999999999,6.00265934735944e-10,152893763.86171454,-1235512197.6111226,-2.718373792731654e-10,27210913.67911643,-299566654.2854371,39360858808.662766,112984152.17124072,430804179.33923006,102691198206.95465,-468575733948.9712,1375417240.8882778,61379396075.51665,-28090507273.810047,95970091372419.78,1.7927937382388641,0.022100312713922883,0.004606955274586395,0.0007192171711793729,-1.2991887922165666e-07,-3.285495673897335e-05,5.140685232054315e-08,3,1.2962813640908024,5.064528625203356,6.565054074755522,,../Images/Additional/Images for model (from Alexa)/2.tif,3
3,11709699.069001997,1261.4154063110009,1.4080892398815605,1353.6603509201693,1218.0879506422257,6585.541567008206,60.0,126.20345651257553,223.0,8.159340511440108,4.087236385112537,643.8007587466628,634.6453589995784,1478.976661952446,133372.58,9033542.04,784962848.4999999,76939477509.06,9163860.0,625974693.68,55037723046.67999,5463734334171.92,771377791.4799999,52623375011.079994,4619217867287.96,458587405424743.8,72401001802.31999,4906237074430.399,427866773416853.2,4.229538064096349e+16,133372.58,6.778158194720163e-09,173106335.0513784,323117520.2466677,-8.984015664736943e-10,5291532.578412255,387117855.8570926,25834634962.26939,141740649.42576364,-350447910.58014655,159023870933.65106,-534226995169.24054,-77021967.82428113,-306407738.8859989,985377781798.9056,20916435784106.94,1.553980680077332,0.002848963156201256,0.000625167917034211,1.7700197271815426e-05,-8.993004353392459e-11,-3.0519248772188385e-07,-1.771986919040834e-10,4,1.1112993525684778,4.864988150485159,5.406458181887473,,../Images/Additional/Images for model (from Alexa)/2.tif,4
4,6828875.366852998,963.2962222814961,1.483989141425166,1375.0869489745176,762.0868828847852,6167.7156224358205,57.0,130.05083724852426,210.0,6.922425240299038,7.799371646804681,413.72822431032404,675.1152162390073,1335.4469026135032,77780.37,5604131.409999999,507932698.62999994,51039819890.10999,3434357.9899999998,253713270.29999998,23544240389.94,2408434450420.0796,184345127.01,14115350370.96,1343074349971.1199,139609828690948.61,11169073628.929998,888815420780.3999,86639370410418.0,9136795253404672.0,77780.37,4.998665303901361e-10,104151013.60396332,-565405490.0349363,-1.5675090025979441e-09,6265315.437565342,213854792.69176844,10992998235.312916,32702562.138209857,279867345.8352002,44083288183.539154,312312761275.46216,141461250.5108265,10358352262.126884,485802798219.84644,17202839709033.39,1.986073522073352,0.11827179083997318,0.006022437125829961,0.0005626201260528211,-7.684701939505299e-08,-2.406242396467801e-05,-7.944062535549206e-08,5,1.804370315060793,4.485327729301369,8.093192208070423,,../Images/Additional/Images for model (from Alexa)/2.tif,5
5,1338462.8625309996,426.4699415795362,0.7262479631004681,595.0310478215689,382.2209487083172,2490.0518078827185,73.0,114.38045482483098,161.0,6.8118811438784626,7.181238720909737,292.5950952673632,241.62736324523664,599.2406202853741,15244.989999999998,393127.72,12718481.94,458235258.7,476052.22,13396720.02,464213374.91999996,17552548014.42,17712729.419999998,534064888.4,19257042952.859997,744822485117.6,730709311.66,23197063056.239998,855905154394.86,33452179265635.918,15244.989999999998,-3.9680401187069944e-11,2580764.2876828513,-2842627.706074687,-5.239677136614773e-11,1120600.2029625073,9261317.344935495,291300924.14760673,2847143.0098463427,7315224.3748332225,396611427.9595704,1334125086.218469,-216826.28039742887,390586336.2747991,2605602519.41956,93898298445.13547,2.0504883961186606,0.07758249763683613,0.013091402775377344,0.0009530156373599651,1.82099376428391e-07,7.464530754074581e-05,3.0968435588566996e-07,6,1.5567724632373634,4.184742656704876,6.514692133692918,,../Images/Additional/Images for model (from Alexa)/2.tif,6
6,11596172.409487996,1255.2857413158151,0.6895481906237948,1320.5503553627786,1243.491379590973,7270.721802059436,56.0,127.19260783200907,190.0,7.746145094129376,3.1539789144393597,709.958970629966,638.4668544267878,1613.9536009749472,132079.52,8999828.78,766148282.04,73396237158.14,10007581.649999999,691029872.8199999,59525493485.659996,5761992212707.8,914712339.9699999,63331954620.99999,5458356440025.159,529093811474445.44,92822562644.43,6425674908003.3,551996976862800.44,5.34023722887039e+16,132079.52,-1.1685744993883417e-09,152904699.1641969,353606607.0786929,7.621832764925784e-10,9118541.28374153,232257796.4585406,26316173394.373505,156444211.18351808,-377873636.5150795,161521162600.9346,47500132874.84743,-191970287.62587863,29639666372.13969,59277995946.746574,82814281457707.64,1.5568859824775552,0.0009329236963345955,0.0005756384987621226,4.2419016573723975e-07,6.264905633476814e-13,-3.2959620221085464e-09,-3.285575449680983e-13,7,1.0619698512080984,5.505827000487263,5.847022280484989,,../Images/Additional/Images for model (from Alexa)/2.tif,7
7,8588538.589319998,1080.3013020657966,-1.1957274051590656,1439.7376798973823,1120.597625086837,7491.387668281411,67.0,126.90249042145594,196.0,6.6695847821640415,5.88295193430221,544.2587835249042,571.274719348659,1428.9480407978451,97822.79999999999,5964108.069999999,500333366.27,48640918505.649994,5682061.699999999,327030906.07,27128978287.649998,2671531758601.09,425126288.73999995,22944873263.609997,1838757083255.39,179950317107551.56,36955885208.299995,1876707806662.69,143177789878808.66,1.371524899674565e+16,97822.79999999999,-1.3038606994086876e-09,136710723.38266566,1466258563.1277924,1.1645798281278984e-09,-19395796.490220297,432054820.1962208,-16521667299.443861,95082319.82266282,-721213831.4970064,109749766435.85152,126863438237.61157,1216558399.665388,-54442720357.61278,1419179773600.519,-62218908089817.54,2.1266665492774663,0.02908684287762447,0.0113437351034605,0.0028164769638457762,-1.634938767473278e-06,-0.0001561575907017572,-4.622059792251856e-07,8,1.2847945129152085,5.203300415680835,6.6851718231161605,,../Images/Additional/Images for model (from Alexa)/2.tif,8
8,11117386.062841997,1229.0982703142304,-1.0930352210731056,1620.2151724468183,1217.842877084351,9125.65865057318,54.0,124.2763060529821,192.0,6.177188155519781,6.180044018926012,585.7324700310788,729.036476246855,1999.3481080092079,126626.18,9852198.94,981422214.2599999,110471029015.71999,7915588.6,573845260.88,54496629252.78,5826067275680.359,650269417.0799999,46100687565.299995,4383807466473.6396,469662563157161.3,61142070369.99999,4279274413890.9795,409728783875353.75,4.4300627912244376e+16,126626.18,1.8420760738990792e-09,214868062.87252933,675308244.7862477,2.819971598455595e-09,-42030173.523818254,-313167812.1275594,-243229224872.61108,155454341.04714504,760959739.1294663,346082322388.66455,5134979598413.734,1057414855.6846962,-127892280022.3112,244031467503.99246,-695650076952431.6,2.0277394839933387,0.03390565372856473,0.0015560953918696075,0.0006195926910472896,-5.564791894019213e-08,-1.2461022769902095e-05,-3.3452492490409927e-08,9,1.3303975438324118,5.632374517757282,7.493297224368553,,../Images/Additional/Images for model (from Alexa)/2.tif,9
9,490303.54398799984,258.11769612166177,1.3772339217098608,388.7589051135151,182.89043539379725,1211.5649985441794,78.0,111.60906040268456,153.0,7.567100271002709,8.268353046963892,121.82572147651007,214.70820469798656,417.46478474237796,5584.5199999999995,127966.09,3515783.2899999996,107134134.42999999,72608.12999999999,1752086.93,50222441.029999994,1579551038.87,1094312.93,27501296.689999998,807830342.8699999,25779418330.789997,18052663.65,468938431.66999996,13997978237.21,449898278196.64996,5584.5199999999995,-7.789608957864402e-12,583513.3384395974,-169784.55937778557,3.561915207228594e-12,88313.05179530199,464072.8908273837,15613750.722884012,150285.41427852347,129304.47232619015,11362702.086856404,23152182.809188988,-83165.62023247847,5442141.5930272415,24973039.606016114,656831692.4561235,2.0657818136517525,0.1851347008768314,0.0035305478561717344,0.00020823082865113247,-1.903631083878826e-08,-2.882080068824096e-05,8.338195051424616e-10,10,2.1256382504445606,3.116494522975391,6.624539965337465,,../Images/Additional/Images for model (from Alexa)/2.tif,10
